Name,Entrants,Country,City,State,Date,Prize Pool,Winner,2nd,3rd,4th,5th,6th,7th,8th
Tournament Go 4,85,USA,San Jose,CA,2003-01-19,1170,Ken,Recipherus,Sultan of Samitude,Justin Junio,Jeff,Matt Deezie,Isai,Vien
Tournament Go 5,90,USA,San Jose,CA,2003-08-03,1000,Ken,Recipherus,Isai,Azen,Wes,Justin Junio,Sultan of Samitude,The Doug
Game Over,85,USA,Woodbridge,VA,2004-01-10,1030,Ken,Azen,Isai,Dave,Chillin,Wes,Sultan of Samitude,HellFox
MELEE-FC1,98,USA,South Bend,IN,2004-07-10,500,Ken,Azen,Isai,Wes,KishCubed,Vidjogamer,KishSquared,Dope
Tournament Go 6,112,USA,San Jose,CA,2004-08-22,1712,Azen,Captain Jack,ChuDat,Sastopher,Isai,RobFalco,Wes,DieSuperFly
MOAST 3,128,USA,Dallas,TX,2005-01-06,1840,Isai,Ken,Caveman,Zulu,RobFalco,Mike G,Forward,Smiles
MLG DC 2005,97,USA,Arlington,VA,2005-01-30,1000,Ken,Isai,ChuDat,NEO,Manacloud,Hayato,Wes,KM
MLG San Francisco 2005,100,USA,San Francisco,CA,2005-02-27,1000,Ken,DieSuperFly,Kei,Zelgadis,Eddie,Isai,The GERM,Husband
Gettin' Schooled 2,99,USA,Catonsville,MD,2005-06-26,1980,Ken,ChuDat,Azen,Chillin,PC Chris,Wes,Isai,KrazyJones
MELEE-FC3,186,USA,South Bend,IN,2005-07-12,1500,Ken,Sastopher,ChuDat,Isai,KrazyJones,Caveman,DieSuperFly,Dave
Jack Garden Tournament,116,Japan,Kyoto,,2005-08-20,0,Ken,Bombsoldier,Masashi,Jing,Mikael,RAIN,Captain Jack,S-Royal
BOMB 4,105,USA,Potomac,MD,2005-11-12,1417,ChuDat,Azen,NEO,Mike G,Wife,Chillin,KM,PC Chris
MLG New York 2005,90,USA,Jersey City,NJ,2006-02-26,13750,Ken,ChuDat,PC Chris,Isai,Chillin,RobFalco,NEO,KrazyJones
MLG New York Opener 2006,143,USA,Secaucus,NJ,2006-04-23,5275,PC Chris,Ken,ChuDat,Tink,NEO,Isai,Mew2King,JBlaze
MLG Dallas 2006,144,USA,Dallas,TX,2006-05-20,5275,Ken,ChuDat,PC Chris,KoreanDJ,The King,FASTLIKETREE,Dope,Mew2King
MLG Anaheim 2006,160,USA,Anaheim,CA,2006-06-24,5275,Ken,PC Chris,ChuDat,Isai,Mew2King,KoreanDJ,HugS,Dope
MELEE-FC6,205,USA,South Bend,IN,2006-07-15,3250,PC Chris,Mew2King,Vidjogamer,ChuDat,Darkrain,RobFalco,KoreanDJ,Tink
MLG Chicago 2006,184,USA,Chicago,IL,2006-07-22,5275,Ken,ChuDat,Mew2King,Azen,PC Chris,Chillin,KoreanDJ,Isai
Zero Challenge 2,192,USA,Fountain Valley,CA,2006-08-17,3840,Ken,ChuDat,Mew2King,KoreanDJ,Shu,Hoshino Kirby,Kei,Captain Jack
MLG Orlando 2006,176,USA,Orlando,FL,2006-08-27,5275,Azen,ChuDat,KoreanDJ,Isai,Ken,Mew2King,HugS,Chillin
MLG New York Playoffs 2006,208,USA,New York City,NY,2006-10-14,13175,Azen,PC Chris,ChuDat,KoreanDJ,Mew2King,Isai,Ken,HugS
MLG Las Vegas 2006,8,USA,Las Vegas,NV,2006-11-19,18000,PC Chris,KoreanDJ,Ken,Mew2King,Azen,Isai,ChuDat,HugS
Cataclysm 3,112,USA,Spencer,MA,2007-03-04,1680,Mew2King,KoreanDJ,ChuDat,PC Chris,Forward,Husband,Cactuar,Cort
Pound 2,201,USA,Mount Airy,MD,2007-06-17,5000,ChuDat,Mew2King,Jiano,Chillin,Drephen,PC Chris,DaShizWiz,Taj
The Renaissance of Smash 4,132,Sweden,Varberg,,2007-07-06,320,Amsah,Aldwyn,Helios,Armada,Masamune,Faab,Ek,Joanna Dark
MELEE-FC Diamond,256,USA,South Bend,IN,2007-07-14,4550,Mew2King,PC Chris,ChuDat,Drephen,Vidjogamer,Taj,Darkrain,DaShizWiz
Zero Challenge 3,228,USA,Santa Fe Springs,CA,2007-07-22,2150,PC Chris,Mew2King,ChuDat,Ken,Drephen,The King,Vidjogamer,Silent Wolf
Evo West,128,USA,San Diego,CA,2007-07-29,1280,Mew2King,PC Chris,ChuDat,Edrees,Mr. Brandandorf,HugS,Roy,Mango
Evo World 2007,270,USA,Las Vegas,NV,2007-08-26,10250,Ken,HugS,Mango,PC Chris,ChuDat,Eddie,DieSuperFly,Chillin
Super Champ Combo,201,USA,San Bernardino,CA,2007-09-30,4000,Mew2King,PC Chris,Mango,Cort,Wobbles,ChuDat,Forward,Ken
Viva La Smashtaclysm,188,USA,Torrington,CT,2007-11-11,2820,Azen,ChuDat,KoreanDJ,Mew2King,Drephen,PC Chris,Chillin,Darc
Pound 3,224,USA,Baltimore ,MD,2008-02-03,1920,Mango,Mew2King,PC Chris,Cort,ChuDat,Vidjogamer,Azen,Darkrain
Epita Smash Arena 2,231,France,Villejuif,,2008-02-24,6926,Amsah,Captain Jack,Armada,Masashi,Adam,Calle W,Makenshi,Poilon
Revival of Melee,136,USA,Nanuet,NY,2009-03-08,1350,Mango,Mew2King,DaShizWiz,PC Chris,ChuDat,Kage,Hungrybox,Azen
SMASH ATTACK,131,Germany,Bremen,,2009-04-05,0,Armada,Zgetto,Amsah,Adam,Remen,Poilon,Tonberry,Faab
Epita Smash Arena 3,108,France,Villejuif,,2009-04-12,3072,Armada,Amsah,Strawhat Dahean,Zgetto,Inf,Adam,Poilon,Makenshi
GENESIS,290,USA,Antioch,CA,2009-07-12,5700,Mango,Armada,Hungrybox,Zhu,Mew2King,Scar,Darkrain,Hax
Super Lion 4,113,France,Parc du Vellein,,2008-08-09,640,Amsah,Overtriforce,Poilon,Zgetto,Makenshi,Faab,Inf,Ice
Revival of Melee 2,159,USA,Nanuet,NY,2009-11-22,1590,Hungrybox,PPMD,Kage,Mango,Jman,Darc,Cactuar,Hax
Pound 4,347,USA,Frederick,MD,2010-01-18,5205,Mango,Hungrybox,Amsah,Armada,Mew2King,Jman,Lucky,Zhu
Apex 2010,220,USA,New Brunswick,NJ,2010-08-08,3300,Hungrybox,Armada,Mew2King,PPMD,Axe,Wobbles,Jman,Zhu
